iter	Passed	Remaining
0	188	75070
1	245	48828
2	302	40065
3	363	35992
4	417	32981
5	473	31116
6	530	29781
7	585	28674
8	636	27655
9	690	26922
10	748	26481
11	813	26295
12	872	25972
13	936	25833
14	995	25556
15	1046	25119
16	1101	24809
17	1153	24478
18	1204	24153
19	1263	24002
20	1320	23825
21	1398	24029
22	1462	23975
23	1526	23907
24	1589	23849
25	1656	23821
26	1721	23782
27	1785	23721
28	1852	23697
29	1912	23584
30	1973	23485
31	2034	23391
32	2099	23349
33	2165	23309
34	2235	23308
35	2304	23297
36	2372	23277
37	2431	23164
38	2492	23075
39	2556	23005
40	2614	22895
41	2678	22834
42	2742	22765
43	2808	22723
44	2869	22633
45	2932	22565
46	2994	22489
47	3053	22394
48	3121	22356
49	3190	22330
50	3262	22323
51	3333	22310
52	3397	22242
53	3419	21910
54	3494	21920
55	3561	21876
56	3623	21802
57	3690	21762
58	3764	21755
59	3845	21790
60	3906	21711
61	3978	21688
62	4040	21616
63	4102	21540
64	4164	21462
65	4237	21442
66	4302	21383
67	4366	21316
68	4426	21232
69	4482	21132
70	4545	21064
71	4609	20997
72	4674	20936
73	4733	20852
74	4792	20768
75	4859	20718
76	4924	20656
77	4987	20591
78	5058	20555
79	5133	20532
80	5241	20643
81	5316	20618
82	5380	20551
83	5444	20482
84	5511	20424
85	5575	20356
86	5639	20290
87	5698	20203
88	5760	20129
89	5821	20051
90	5883	19976
91	5951	19925
92	6013	19851
93	6075	19778
94	6140	19712
95	6206	19652
96	6267	19576
97	6330	19508
98	6394	19442
99	6458	19374
100	6526	19322
101	6592	19259
102	6653	19185
103	6713	19108
104	6782	19055
105	6844	18983
106	6909	18919
107	6973	18854
108	7037	18787
109	7098	18713
110	7169	18666
111	7236	18607
112	7298	18536
113	7362	18469
114	7427	18406
115	7495	18351
116	7557	18280
117	7627	18228
118	7690	18160
119	7756	18097
120	7825	18043
121	7886	17971
122	7951	17907
123	8022	17856
124	8099	17819
125	8162	17750
126	8231	17695
127	8295	17628
128	8364	17571
129	8428	17505
130	8500	17454
131	8563	17386
132	8632	17329
133	8695	17261
