feature,importance
risk_score,8
risk_velocity,7
amount,7
risk_score_gap,5
log_amount,5
anomaly_score,4
hour,3
annual_income,3
typing_pattern_anomaly,3
destination_monthly_limit,2
txn_avg_alert_risk_score,2
sin_day_of_week,2
sin_hour,2
authentication_failures,1
max_risk_score,1
hours_since_last_alert,1
amount_to_daily_limit_ratio,1
amount_risk_score,1
velocity_risk_score,1
amount_to_monthly_limit_ratio,1
txn_outcome_reached_rate,0
txn_call_count,0
hesitation_indicators,0
txn_escalation_rate,0
txn_avg_call_duration,0
txn_avg_resolution_hours,0
hours_since_last_call,0
location_risk_score,0
txn_high_priority_rate,0
txn_avg_false_positive_prob,0
relative_amount_to_avg,0
device_trust_gap,0
source_mule_account_rate,0
pagerank_centrality,0
betweenness_centrality,0
flow_ratio,0
transaction_type_encoded,0
risk_profile_encoded,0
txn_alert_count,0
is_night,0
digital_literacy_level_encoded,0
is_flagged,0
ctr_flag,0
sar_flag,0
day_of_week,0
is_weekend,0
known_device,0
is_round_amount,0
is_business_hours,0
cos_hour,0
cos_day_of_week,0
source_is_mule_account,0
is_vulnerable,0
vulnerability_score,0
credit_score,0
customer_tenure_years,0
txn_per_month,0
alert_to_txn_ratio,0
call_to_txn_ratio,0
avg_risk_score,0
known_device_rate,0
source_daily_limit,0
source_monthly_limit,0
destination_daily_limit,0
destination_is_mule_account,0
age,0
