feature,importance
age,0.07644353
risk_velocity,0.061152052
log_amount,0.025480367
amount,0.023271529
txn_avg_false_positive_prob,0.022773672
location_risk_score,0.02208571
customer_tenure_years,0.021912472
txn_avg_alert_risk_score,0.021672968
txn_escalation_rate,0.021382777
risk_score_gap,0.021136668
avg_risk_score,0.020059846
is_flagged,0.019813592
transaction_type_encoded,0.019305559
hours_since_last_alert,0.018963272
max_risk_score,0.018812163
destination_is_mule_account,0.01880256
digital_literacy_level_encoded,0.018433262
velocity_risk_score,0.018187571
sin_day_of_week,0.017687915
cos_day_of_week,0.016697738
typing_pattern_anomaly,0.016696248
hesitation_indicators,0.015584706
hour,0.0154098775
known_device_rate,0.015393881
anomaly_score,0.015351182
day_of_week,0.015317653
txn_avg_resolution_hours,0.014722263
sin_hour,0.014676997
known_device,0.014553981
risk_score,0.014370421
credit_score,0.014366404
is_business_hours,0.014227175
amount_risk_score,0.014033545
authentication_failures,0.013483142
alert_to_txn_ratio,0.0133901
cos_hour,0.013154054
amount_to_monthly_limit_ratio,0.013135721
amount_to_daily_limit_ratio,0.012281099
destination_daily_limit,0.012221682
txn_avg_call_duration,0.012186355
destination_monthly_limit,0.0120395515
call_to_txn_ratio,0.011706109
source_daily_limit,0.011091586
txn_per_month,0.011031716
device_trust_gap,0.010746224
source_mule_account_rate,0.010647873
source_monthly_limit,0.010282796
annual_income,0.010009647
flow_ratio,0.009719993
txn_call_count,0.009506541
ctr_flag,0.009429014
source_is_mule_account,0.009391991
risk_profile_encoded,0.009371332
pagerank_centrality,0.009219691
sar_flag,0.0087966435
txn_high_priority_rate,0.0074967807
betweenness_centrality,0.007174036
txn_outcome_reached_rate,0.006775442
vulnerability_score,0.0067267474
is_vulnerable,0.006477043
txn_alert_count,0.0063929935
is_weekend,0.0059455326
is_night,0.005703675
hours_since_last_call,0.005685228
is_round_amount,0.0
relative_amount_to_avg,0.0
