account_id,customer_id,is_mule_account,in_degree,out_degree,total_degree,pagerank_centrality,betweenness_centrality,in_flow,out_flow,flow_ratio,avg_transaction_amount
ACC00001086,AU-CUST00856,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ACC00001086,AU-CUST00856,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ACC00001086,AU-CUST00856,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ACC00001007,AU-CUST00830,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ACC00001247,AU-CUST00980,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ACC00001247,AU-CUST00980,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ACC00000344,AU-CUST00246,0,1,0,1,0.000702877648242838,0.0,31.85,0.0,0.0,31.85
ACC00000344,AU-CUST00246,0,1,0,1,0.000702877648242838,0.0,31.85,0.0,0.0,31.85
ACC00000389,AU-CUST00342,0,1,1,2,0.0009124770846958745,0.0,608.22,256.06,0.42099898063200814,432.14
ACC00000489,AU-CUST00414,0,0,1,1,0.0004932782117898014,0.0,0.0,62.34,62340000.00000001,62.34
ACC00000489,AU-CUST00414,0,0,1,1,0.0004932782117898014,0.0,0.0,62.34,62340000.00000001,62.34
ACC00000489,AU-CUST00414,0,0,1,1,0.0004932782117898014,0.0,0.0,62.34,62340000.00000001,62.34
ACC00000489,AU-CUST00414,0,0,1,1,0.0004932782117898014,0.0,0.0,62.34,62340000.00000001,62.34
ACC00000141,AU-CUST00091,0,0,2,2,0.0004932782117898014,0.0,0.0,70.94,70940000.0,35.47
ACC00000141,AU-CUST00091,0,0,2,2,0.0004932782117898014,0.0,0.0,70.94,70940000.0,35.47
ACC00000089,AU-CUST00062,0,0,1,1,0.0004932782117898014,0.0,0.0,43.67,43670000.0,43.67
ACC00000089,AU-CUST00062,0,0,1,1,0.0004932782117898014,0.0,0.0,43.67,43670000.0,43.67
ACC00000665,AU-CUST00512,0,0,1,1,0.0004932782117898014,0.0,0.0,5.77,5770000.0,5.77
ACC00000862,AU-CUST00729,0,1,0,1,0.0007622397692116605,0.0,81.33,0.0,0.0,81.33
ACC00000862,AU-CUST00729,0,1,0,1,0.0007622397692116605,0.0,81.33,0.0,0.0,81.33
ACC00001040,AU-CUST00801,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ACC00001040,AU-CUST00801,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ACC00001040,AU-CUST00801,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ACC00000057,AU-CUST00042,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ACC00000057,AU-CUST00042,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ACC00000703,AU-CUST00595,0,0,1,1,0.0004932782117898014,0.0,0.0,13.26,13260000.0,13.26
ACC00000301,AU-CUST00225,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ACC00000729,AU-CUST00594,0,1,1,2,0.0009124770846958745,0.0,194.53,18.62,0.09571788413098237,106.575
ACC00001261,AU-CUST00994,0,0,1,1,0.0004932782117898014,0.0,0.0,21.51,21510000.000000004,21.51
ACC00000036,AU-CUST00030,0,0,2,2,0.0004932782117898014,0.0,0.0,694.94,694940000.0000001,347.47
ACC00001177,AU-CUST00930,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ACC00001177,AU-CUST00930,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ACC00000841,AU-CUST00714,0,0,1,1,0.0004932782117898014,0.0,0.0,75.83,75830000.0,75.83
ACC00000841,AU-CUST00714,0,0,1,1,0.0004932782117898014,0.0,0.0,75.83,75830000.0,75.83
ACC00000477,AU-CUST00395,0,2,1,3,0.0012302964052376994,4.980069829777553e-06,74.66000000000001,62.84,0.8416822930618805,45.833333333333336
ACC00000477,AU-CUST00395,0,2,1,3,0.0012302964052376994,4.980069829777553e-06,74.66000000000001,62.84,0.8416822930618805,45.833333333333336
ACC00000477,AU-CUST00395,0,2,1,3,0.0012302964052376994,4.980069829777553e-06,74.66000000000001,62.84,0.8416822930618805,45.833333333333336
ACC00000477,AU-CUST00395,0,2,1,3,0.0012302964052376994,4.980069829777553e-06,74.66000000000001,62.84,0.8416822930618805,45.833333333333336
ACC00000626,AU-CUST00488,0,0,1,1,0.0004932782117898014,0.0,0.0,30.1,30100000.000000004,30.1
ACC00000626,AU-CUST00488,0,0,1,1,0.0004932782117898014,0.0,0.0,30.1,30100000.000000004,30.1
ACC00000626,AU-CUST00488,0,0,1,1,0.0004932782117898014,0.0,0.0,30.1,30100000.000000004,30.1
ACC00000906,AU-CUST00709,0,2,3,5,0.002128734859028112,5.478076812755309e-05,26.4,626.54,23.73257575757576,130.588
ACC00000906,AU-CUST00709,0,2,3,5,0.002128734859028112,5.478076812755309e-05,26.4,626.54,23.73257575757576,130.588
ACC00001087,AU-CUST00829,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ACC00000767,AU-CUST00620,0,0,1,1,0.0004932782117898014,0.0,0.0,75.62,75620000.00000001,75.62
ACC00000767,AU-CUST00620,0,0,1,1,0.0004932782117898014,0.0,0.0,75.62,75620000.00000001,75.62
ACC00001023,AU-CUST00822,0,1,1,2,0.004318869831559758,1.9920279319110212e-05,31.54,767.78,24.3430564362714,399.65999999999997
ACC00001023,AU-CUST00822,0,1,1,2,0.004318869831559758,1.9920279319110212e-05,31.54,767.78,24.3430564362714,399.65999999999997
ACC00001023,AU-CUST00822,0,1,1,2,0.004318869831559758,1.9920279319110212e-05,31.54,767.78,24.3430564362714,399.65999999999997
ACC00001019,AU-CUST00798,0,1,0,1,0.0009124770846958745,0.0,182.0,0.0,0.0,182.0
ACC00000625,AU-CUST00462,0,1,2,3,0.000776164292922787,0.0,133.49,36.91,0.2765001123679676,56.800000000000004
ACC00000093,AU-CUST00074,0,2,0,2,0.001122076521148911,0.0,31.78,0.0,0.0,15.89
