transaction_id,customer_id_x,source_account_id,destination_account_id,amount,currency,transaction_type,transaction_date,transaction_time,payee_payer_name,description,payment_channel,device_id,device_model,ip_address,ip_address_country,known_device,status,is_flagged,flag_reason,is_fraud,fraud_type,risk_score,location_risk,amount_risk,velocity_risk,ctr_flag,sar_flag,transaction_datetime,hour,day_of_week,is_weekend,is_night,is_business_hours,log_amount,is_round_amount,sin_hour,cos_hour,sin_day_of_week,cos_day_of_week,age,annual_income,is_vulnerable,vulnerability_score,credit_score,digital_literacy_level,risk_profile,customer_tenure_years,txn_per_month,alert_to_txn_ratio,call_to_txn_ratio,risk_velocity,avg_risk_score,max_risk_score,known_device_rate,source_daily_limit,source_monthly_limit,source_is_mule_account,customer_id_y,destination_daily_limit,destination_monthly_limit,destination_is_mule_account,customer_id,amount_to_daily_limit_ratio,amount_to_monthly_limit_ratio,location_risk_score,amount_risk_score,velocity_risk_score,anomaly_score,hesitation_indicators,typing_pattern_anomaly,copy_paste_detected,new_payee_flag,authentication_failures,txn_call_count,txn_escalation_rate,txn_outcome_reached_rate,txn_avg_call_duration,txn_avg_resolution_hours,hours_since_last_call,txn_alert_count,txn_high_priority_rate,txn_avg_alert_risk_score,txn_avg_false_positive_prob,hours_since_last_alert,relative_amount_to_avg,risk_score_gap,device_trust_gap,source_mule_account_rate
TXN-2024-009774,AU-CUST00999,ACC00001264,ACC00000562,41.05,AUD,Payment,2025-04-03,01:06:10,Payee-001081,Grocery shopping,Mobile Banking,DEV-UST00152,iPhone 13,59.120.66.254,AU,1,Completed,0,,0,LEGITIMATE,18.0,Low,Low,Low,0,0,2025-04-03 01:06:10,1,3,0,1,0,3.738859386418957,False,0.25881904510252074,0.9659258262890683,0.43388373911755823,-0.900968867902419,0.0,0.0,0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2024-001161,AU-CUST00003,ACC00000389,ACC00000850,256.06,AUD,Payment,2025-06-02,09:19:02,Payee-000215,Fuel,Online Banking,DEV-UST00079,iPhone 13,203.105.38.142,AU,1,Completed,0,,0,LEGITIMATE,23.0,Low,Low,Low,0,0,2025-06-02 09:19:02,9,0,0,0,1,5.549309520681986,False,0.7071067811865476,-0.7071067811865475,0.0,1.0,45.973990417522245,68714.0,0,0.0,666.0,Medium,Very High,0.9938398357289527,0.15472597299444002,0.0,0.0,0.0,41.0,59.0,1.0,11765.0,74260.0,0.0,AU-CUST00342,0.0,0.0,0.0,,0.021762706102328742,0.0034481086977013508,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.0,0.0,0.0
TXN-2024-002335,AU-CUST00809,ACC00000745,ACC00000806,21.38,AUD,Payment,2025-08-29,10:40:46,Payee-000842,Rent payment,ATM,DEV-UST00859,Samsung Galaxy S23,203.180.122.227,AU,1,Completed,0,,0,LEGITIMATE,18.0,Low,Low,Medium,0,0,2025-08-29 10:40:46,10,4,0,0,1,3.108167702883779,False,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,47.97262149212868,64201.0,0,0.0,740.0,Medium,Low,1.2265571526351813,0.12723709993468324,0.0,0.0,0.0,13.5,18.0,1.0,0.0,0.0,0.0,,5183.0,199870.0,0.0,AU-CUST00651,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0
TXN-2024-002335,AU-CUST00809,ACC00000745,ACC00000806,21.38,AUD,Payment,2025-08-29,10:40:46,Payee-000842,Rent payment,ATM,DEV-UST00859,Samsung Galaxy S23,203.180.122.227,AU,1,Completed,0,,0,LEGITIMATE,18.0,Low,Low,Medium,0,0,2025-08-29 10:40:46,10,4,0,0,1,3.108167702883779,False,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,47.97262149212868,64201.0,0,0.0,740.0,Medium,Low,1.2265571526351813,0.12723709993468324,0.0,0.0,0.0,13.5,18.0,1.0,0.0,0.0,0.0,,5004.0,199989.0,0.0,AU-CUST00624,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0
TXN-2024-002335,AU-CUST00809,ACC00000745,ACC00000806,21.38,AUD,Payment,2025-08-29,10:40:46,Payee-000842,Rent payment,ATM,DEV-UST00859,Samsung Galaxy S23,203.180.122.227,AU,1,Completed,0,,0,LEGITIMATE,18.0,Low,Low,Medium,0,0,2025-08-29 10:40:46,10,4,0,0,1,3.108167702883779,False,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,47.97262149212868,64201.0,0,0.0,740.0,Medium,Low,1.2265571526351813,0.12723709993468324,0.0,0.0,0.0,13.5,18.0,1.0,0.0,0.0,0.0,,25000.0,164124.0,0.0,AU-CUST00640,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0
TXN-2024-003222,AU-CUST00673,ACC00001039,ACC00000390,39.6,AUD,Payment,2025-07-16,23:08:48,Payee-000537,Online purchase,Online Banking,DEV-UST00899,iPhone 14,203.93.187.247,AU,1,Completed,0,,0,LEGITIMATE,6.0,Low,Low,Low,0,0,2025-07-16 23:08:48,23,2,0,1,0,3.703768066607687,False,-0.25881904510252157,0.9659258262890681,0.9749279121818236,-0.22252093395631434,54.9678302532512,111393.0,0,0.0,759.0,Medium,Low,0.7912388774811773,0.09528468010174135,0.5,1.0,0.0,6.0,6.0,1.0,17847.0,96556.0,0.0,AU-CUST00795,25000.0,190082.0,0.0,AU-CUST00283,0.002218735992828328,0.0004101204469898609,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2024-010131,AU-CUST00248,ACC00000293,ACC00001131,99.91,AUD,Payment,2024-12-14,09:09:13,Payee-000915,Utilities,ATM,DEV-UST00235,iPhone 14,203.197.214.1,AU,1,Blocked,0,,1,LEGITIMATE,20.0,Low,Low,Low,0,0,2024-12-14 09:09:13,9,5,1,0,1,4.614229030476437,False,0.7071067811865476,-0.7071067811865475,-0.9749279121818236,-0.2225209339563146,0.0,0.0,0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2024-000981,AU-CUST00370,ACC00000304,ACC00000864,83.81,AUD,Payment,2025-08-26,05:05:33,Payee-000663,Transfer to savings,Mobile Banking,DEV-UST00050,Unknown Device,203.136.228.231,AU,1,Pending,0,App Invoice Fraud pattern detected,0,LEGITIMATE,35.0,Low,Low,High,0,0,2025-08-26 05:05:33,5,1,0,1,0,4.440413460373609,False,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336,0.0,0.0,0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0,0,2,0.172,2.0,0.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2024-006962,AU-CUST00201,ACC00000074,ACC00000547,376.44,AUD,Payment,2025-07-08,23:35:52,Payee-000705,Insurance,ATM,DEV-UST00048,iPhone 13,203.253.184.242,AU,1,Completed,0,,0,LEGITIMATE,17.0,Low,Low,Low,0,0,2025-07-08 23:35:52,23,1,0,1,0,5.933411615659365,False,-0.25881904510252157,0.9659258262890681,0.7818314824680298,0.6234898018587336,0.0,0.0,0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5002.0,182133.0,0.0,AU-CUST00064,0.0,0.0,0.0,,0.07524285428742754,0.0020668299164351522,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN-2024-000218,AU-CUST00889,ACC00000521,ACC00000406,16.12,AUD,Payment,2025-02-20,07:50:29,Payee-000339,Supplier payment,ATM,DEV-UST00510,Samsung Galaxy S23,203.187.252.88,AU,1,Completed,0,,0,LEGITIMATE,8.0,High,Low,Low,0,0,2025-02-20 07:50:29,7,3,0,0,0,2.840247370713596,False,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,73.95482546201232,51878.0,1,0.0,656.0,High,Medium,0.6023271731690623,0.3646119291240329,0.0,0.0,0.0,16.333333333333332,26.0,1.0,0.0,0.0,0.0,,25000.0,54545.0,0.0,AU-CUST00298,0.0,0.0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.333333333333332,0.0,0.5
