account_id,customer_id,is_mule_account,account_type,account_age_days,daily_limit,monthly_limit,in_degree,out_degree,total_degree,avg_incoming_amount,avg_outgoing_amount,transaction_velocity,risk_score,vulnerability_score,primary_country,is_new_customer,high_velocity,cross_border_activity,structuring_indicator
mule_000000,mule_cust_000000,True,personal_current,3,1926.07,15979.91,30,53,83,2340.0,584.89,11.89,0.783,0.643,AU,True,True,True,True
mule_000001,mule_cust_000001,True,personal_current,1,1583.0,19078.29,11,35,46,3163.91,2810.69,5.11,0.706,0.757,US,True,False,True,True
mule_000002,mule_cust_000002,True,personal_current,1,1960.63,8491.57,12,51,63,3116.22,891.78,5.98,0.937,0.89,FR,True,False,True,True
mule_000003,mule_cust_000003,True,personal_current,3,646.51,15263.5,16,58,74,2576.85,299.59,18.64,0.765,0.799,US,True,True,True,True
mule_000004,mule_cust_000004,True,personal_current,5,1320.07,7772.82,27,40,67,2358.82,1868.9,18.9,0.882,0.698,CA,True,True,True,True
mule_000005,mule_cust_000005,True,personal_current,5,1941.76,17668.01,27,38,65,1912.42,1372.07,13.14,0.735,0.841,UK,True,True,False,True
mule_000006,mule_cust_000006,True,personal_current,60,1658.37,7980.74,33,25,58,1154.44,3244.34,16.85,0.851,0.878,AU,False,True,True,True
mule_000007,mule_cust_000007,True,personal_current,30,1775.06,11741.76,42,37,79,3410.44,3046.76,13.87,0.769,0.768,US,True,True,True,True
mule_000008,mule_cust_000008,True,personal_current,60,1773.37,15825.94,23,53,76,394.08,3241.38,6.66,0.81,0.661,IT,False,False,True,True
mule_000009,mule_cust_000009,True,personal_current,4,1344.91,15432.74,46,37,83,3101.2,2498.31,8.05,0.936,0.78,AU,True,False,True,True
mule_000010,mule_cust_000010,True,personal_current,21,1436.53,9434.51,15,42,57,4057.63,961.58,18.39,0.835,0.842,IT,True,True,True,True
mule_000011,mule_cust_000011,True,personal_current,3,665.08,8419.03,22,55,77,1662.95,866.25,13.01,0.821,0.808,UK,True,True,False,True
mule_000012,mule_cust_000012,True,personal_current,2,752.44,8281.46,33,55,88,2138.41,432.28,8.81,0.762,0.809,DE,True,False,True,True
mule_000013,mule_cust_000013,True,personal_current,1,1996.61,9001.72,11,16,27,2172.98,293.77,10.18,0.859,0.804,CA,True,True,True,True
mule_000014,mule_cust_000014,True,personal_current,4,1329.34,13890.45,20,31,51,3695.44,1749.86,14.48,0.858,0.761,UK,True,True,False,True
mule_000015,mule_cust_000015,True,personal_current,14,981.17,7797.78,38,17,55,3036.29,3097.4,5.25,0.828,0.668,AU,True,False,True,True
mule_000016,mule_cust_000016,True,personal_current,2,1536.41,10801.03,27,54,81,860.1,1633.64,6.7,0.931,0.863,UK,True,False,False,True
mule_000017,mule_cust_000017,True,personal_current,7,1725.83,13328.01,11,15,26,646.89,4052.89,18.51,0.858,0.702,US,True,True,True,True
mule_000018,mule_cust_000018,True,personal_current,10,1845.67,18306.3,42,38,80,4284.46,4220.01,16.78,0.867,0.774,US,True,True,True,True
mule_000019,mule_cust_000019,True,personal_current,45,1960.5,9258.81,27,16,43,3521.1,2986.03,8.36,0.878,0.671,US,False,False,True,True
mule_000020,mule_cust_000020,True,personal_current,10,1474.45,17738.35,26,47,73,2804.19,2363.34,14.54,0.763,0.777,NL,True,True,True,True
mule_000021,mule_cust_000021,True,personal_current,4,1859.15,11515.92,30,44,74,3296.5,3059.82,17.96,0.758,0.75,CA,True,True,True,True
mule_000022,mule_cust_000022,True,personal_current,10,565.41,19918.26,39,43,82,1541.89,3993.2,16.22,0.938,0.699,CA,True,True,True,True
mule_000023,mule_cust_000023,True,personal_current,5,1970.5,6130.19,30,46,76,4285.46,1528.61,7.54,0.839,0.881,AU,True,False,True,True
mule_000024,mule_cust_000024,True,personal_current,5,645.76,14225.11,31,37,68,872.4,2404.73,18.16,0.885,0.809,DE,True,True,True,True
mule_000025,mule_cust_000025,True,personal_current,3,940.39,17140.42,44,39,83,3135.27,504.93,5.08,0.857,0.658,UK,True,False,False,True
mule_000026,mule_cust_000026,True,personal_current,3,576.15,18299.26,24,42,66,2978.55,2057.36,15.08,0.782,0.647,BE,True,True,True,True
mule_000027,mule_cust_000027,True,personal_current,14,1790.61,8753.77,15,29,44,1928.92,702.71,12.83,0.892,0.665,AU,True,True,True,True
mule_000028,mule_cust_000028,True,personal_current,1,577.52,12970.32,44,54,98,3685.24,4394.96,12.74,0.781,0.839,UK,True,True,False,True
mule_000029,mule_cust_000029,True,personal_current,4,617.68,5380.26,32,23,55,3504.8,403.14,18.73,0.811,0.672,UK,True,True,False,True
mule_000030,mule_cust_000030,True,personal_current,2,1901.92,14574.06,48,19,67,3136.26,1975.26,8.72,0.789,0.827,UK,True,False,False,True
mule_000031,mule_cust_000031,True,personal_current,1,569.0,5610.93,14,26,40,282.37,3470.64,17.1,0.787,0.739,AU,True,True,True,True
mule_000032,mule_cust_000032,True,personal_current,1,1923.72,18300.21,40,24,64,3204.13,2338.64,17.85,0.865,0.649,UK,True,True,False,True
mule_000033,mule_cust_000033,True,personal_current,7,539.77,13786.63,36,34,70,2962.28,1838.54,14.65,0.815,0.764,ES,True,True,True,True
