customer_id,age,annual_income,is_vulnerable,vulnerability_score,credit_score,digital_literacy_level,risk_profile,customer_tenure_years
mule_cust_000000,23,34014.29,True,0.643,502,low,critical,0.00821917808219178
mule_cust_000001,24,16999.5,True,0.757,503,low,high,0.0027397260273972603
mule_cust_000002,27,15411.69,True,0.89,437,medium,critical,0.0027397260273972603
mule_cust_000003,18,34844.23,True,0.799,635,medium,high,0.00821917808219178
mule_cust_000004,18,25495.49,True,0.698,587,low,high,0.0136986301369863
mule_cust_000005,23,24121.4,True,0.841,454,low,critical,0.0136986301369863
mule_cust_000006,34,24335.26,True,0.878,472,medium,critical,0.1643835616438356
mule_cust_000007,19,33977.71,True,0.768,408,medium,critical,0.0821917808219178
mule_cust_000008,18,19617.88,True,0.661,571,medium,high,0.1643835616438356
mule_cust_000009,24,15687.77,True,0.78,503,low,critical,0.010958904109589041
mule_cust_000010,28,23503.12,True,0.842,620,low,high,0.057534246575342465
mule_cust_000011,33,30502.66,True,0.808,413,medium,critical,0.00821917808219178
mule_cust_000012,28,21530.82,True,0.809,589,low,high,0.005479452054794521
mule_cust_000013,22,22773.55,True,0.804,553,medium,high,0.0027397260273972603
mule_cust_000014,33,27140.68,True,0.761,444,low,high,0.010958904109589041
mule_cust_000015,19,34737.74,True,0.668,615,low,critical,0.038356164383561646
mule_cust_000016,18,18976.85,True,0.863,522,medium,critical,0.005479452054794521
mule_cust_000017,19,22169.31,True,0.702,471,medium,high,0.019178082191780823
mule_cust_000018,24,16908.2,True,0.774,436,medium,high,0.0273972602739726
mule_cust_000019,28,27751.15,True,0.671,500,low,critical,0.1232876712328767
mule_cust_000020,33,31978.28,True,0.777,541,low,critical,0.0273972602739726
mule_cust_000021,24,25454.66,True,0.75,604,low,high,0.010958904109589041
mule_cust_000022,21,32915.27,True,0.699,531,low,high,0.0273972602739726
mule_cust_000023,31,19985.84,True,0.881,435,medium,high,0.0136986301369863
mule_cust_000024,32,26977.31,True,0.809,569,medium,high,0.0136986301369863
mule_cust_000025,29,27668.08,True,0.658,443,medium,critical,0.00821917808219178
mule_cust_000026,23,32665.61,True,0.647,616,low,high,0.00821917808219178
mule_cust_000027,22,17201.04,True,0.665,515,low,high,0.038356164383561646
mule_cust_000028,23,21095.63,True,0.839,461,low,high,0.0027397260273972603
mule_cust_000029,21,17397.31,True,0.672,517,medium,high,0.010958904109589041
mule_cust_000030,21,26162.04,True,0.827,585,low,high,0.005479452054794521
mule_cust_000031,33,20035.65,True,0.739,512,low,high,0.0027397260273972603
mule_cust_000032,35,20335.62,True,0.649,486,low,critical,0.0027397260273972603
mule_cust_000033,22,33165.32,True,0.764,571,low,high,0.019178082191780823
mule_cust_000034,24,26057.86,True,0.701,583,low,high,0.00821917808219178
mule_cust_000035,21,29564.33,True,0.725,597,medium,high,0.00821917808219178
mule_cust_000036,23,31328.64,True,0.879,586,low,critical,0.0136986301369863
mule_cust_000037,21,15815.5,True,0.63,546,medium,high,0.010958904109589041
mule_cust_000038,27,31190.02,True,0.628,632,low,high,0.1232876712328767
mule_cust_000039,27,22734.71,True,0.732,619,low,critical,0.0136986301369863
mule_cust_000040,28,19181.43,True,0.719,406,medium,high,0.00821917808219178
mule_cust_000041,27,31344.44,True,0.826,401,low,high,0.0027397260273972603
mule_cust_000042,35,34308.39,True,0.741,646,medium,high,0.0027397260273972603
mule_cust_000043,22,21984.19,True,0.861,551,medium,critical,0.0027397260273972603
mule_cust_000044,23,32755.4,True,0.891,563,medium,critical,0.1232876712328767
mule_cust_000045,31,27128.58,True,0.718,498,low,high,0.019178082191780823
mule_cust_000046,33,20678.42,True,0.761,562,low,high,0.00821917808219178
mule_cust_000047,27,19485.39,True,0.88,420,low,critical,0.038356164383561646
mule_cust_000048,20,22329.38,True,0.891,527,medium,critical,0.0027397260273972603
mule_cust_000049,25,16873.5,True,0.899,637,low,high,0.038356164383561646
mule_cust_000050,26,34577.86,True,0.669,426,medium,high,0.0273972602739726
mule_cust_000051,29,25052.74,True,0.89,596,low,high,0.019178082191780823
mule_cust_000052,21,24983.87,True,0.785,416,medium,high,0.038356164383561646
mule_cust_000053,35,24398.89,True,0.809,523,medium,high,0.019178082191780823
mule_cust_000054,18,33566.37,True,0.774,498,medium,high,0.010958904109589041
mule_cust_000055,34,16506.93,True,0.742,560,low,high,0.0136986301369863
mule_cust_000056,22,18389.85,True,0.738,457,medium,high,0.005479452054794521
mule_cust_000057,32,16408.32,True,0.876,550,medium,high,0.00821917808219178
mule_cust_000058,20,25366.59,True,0.619,560,medium,critical,0.005479452054794521
mule_cust_000059,20,29178.22,True,0.606,425,low,high,0.0027397260273972603
mule_cust_000060,29,32341.45,True,0.626,456,low,critical,0.005479452054794521
mule_cust_000061,26,18885.48,True,0.707,541,low,high,0.019178082191780823
mule_cust_000062,31,21759.9,True,0.652,614,low,high,0.019178082191780823
mule_cust_000063,27,21563.05,True,0.845,549,medium,high,0.0027397260273972603
mule_cust_000064,26,15610.0,True,0.697,453,medium,high,0.005479452054794521
mule_cust_000065,25,21533.02,True,0.76,507,low,critical,0.0136986301369863
mule_cust_000066,26,16706.95,True,0.635,446,low,high,0.00821917808219178
mule_cust_000067,27,17767.06,True,0.714,505,medium,high,0.019178082191780823
mule_cust_000068,22,30903.72,True,0.671,582,low,high,0.0273972602739726
mule_cust_000069,21,18686.67,True,0.762,539,low,high,0.0821917808219178
mule_cust_000070,23,18465.89,True,0.7,525,low,high,0.0136986301369863
mule_cust_000071,19,18657.32,True,0.675,588,medium,critical,0.0273972602739726
mule_cust_000072,28,26087.08,True,0.781,475,low,high,0.0027397260273972603
mule_cust_000073,25,18172.93,True,0.704,619,low,high,0.0136986301369863
mule_cust_000074,18,15814.58,True,0.605,603,medium,critical,0.0821917808219178
mule_cust_000075,18,30267.29,True,0.623,621,low,critical,0.0821917808219178
mule_cust_000076,26,15961.18,True,0.693,579,medium,critical,0.038356164383561646
mule_cust_000077,23,27517.2,True,0.704,468,medium,high,0.019178082191780823
mule_cust_000078,27,27317.02,True,0.774,619,medium,critical,0.0273972602739726
mule_cust_000079,26,33804.6,True,0.751,523,low,high,0.0027397260273972603
mule_cust_000080,20,31224.08,True,0.776,464,medium,critical,0.0027397260273972603
mule_cust_000081,33,33107.01,True,0.826,494,low,high,0.0273972602739726
mule_cust_000082,23,15779.26,True,0.669,489,low,high,0.057534246575342465
mule_cust_000083,22,31897.51,True,0.781,504,medium,high,0.0027397260273972603
mule_cust_000084,24,28857.81,True,0.854,519,medium,high,0.1232876712328767
mule_cust_000085,28,31069.62,True,0.68,600,low,high,0.057534246575342465
mule_cust_000086,25,26518.49,True,0.741,640,low,critical,0.010958904109589041
mule_cust_000087,28,21816.07,True,0.64,512,medium,critical,0.010958904109589041
mule_cust_000088,27,29798.18,True,0.849,512,low,high,0.0273972602739726
mule_cust_000089,25,31529.15,True,0.874,576,medium,high,0.0027397260273972603
mule_cust_000090,19,34170.83,True,0.875,427,low,critical,0.00821917808219178
mule_cust_000091,32,34012.14,True,0.779,516,medium,high,0.019178082191780823
mule_cust_000092,19,27048.82,True,0.807,452,low,high,0.0136986301369863
mule_cust_000093,29,30792.36,True,0.641,566,low,high,0.005479452054794521
mule_cust_000094,35,16117.42,True,0.855,474,low,critical,0.010958904109589041
mule_cust_000095,20,17859.83,True,0.875,629,medium,critical,0.010958904109589041
mule_cust_000096,19,29019.38,True,0.849,521,medium,high,0.0273972602739726
mule_cust_000097,20,25266.52,True,0.695,508,low,high,0.019178082191780823
mule_cust_000098,23,31255.99,True,0.606,531,medium,critical,0.038356164383561646
mule_cust_000099,23,29163.62,True,0.862,566,low,high,0.0136986301369863
mule_cust_000100,24,33127.09,True,0.689,540,low,high,0.0273972602739726
mule_cust_000101,23,26429.46,True,0.836,526,medium,critical,0.0027397260273972603
mule_cust_000102,26,29920.9,True,0.851,590,medium,high,0.010958904109589041
mule_cust_000103,24,16657.83,True,0.891,457,low,high,0.038356164383561646
mule_cust_000104,18,34397.58,True,0.667,517,medium,high,0.0821917808219178
mule_cust_000105,31,33382.31,True,0.699,584,medium,high,0.019178082191780823
mule_cust_000106,25,27587.97,True,0.633,516,low,high,0.0273972602739726
mule_cust_000107,27,22684.04,True,0.864,473,medium,critical,0.2465753424657534
mule_cust_000108,32,32805.28,True,0.657,407,medium,high,0.019178082191780823
mule_cust_000109,20,27936.97,True,0.85,427,low,high,0.1232876712328767
mule_cust_000110,19,34487.9,True,0.632,544,medium,critical,0.0027397260273972603
