event_id,customer_id,transaction_id,event_timestamp,anomaly_score,behavioral_flags,session_duration_seconds,hesitation_indicators,typing_pattern_anomaly,copy_paste_detected,new_payee_flag,authentication_failures
BEH-00000001,AU-CUST00301,TXN-2024-000001,2025-04-30T07:47:26,0.397,NORMAL,822,0,0.298,False,False,0
BEH-00000002,AU-CUST00749,TXN-2024-000002,2025-09-22T22:39:58,0.143,NORMAL,1218,0,0.166,False,False,0
BEH-00000003,AU-CUST00746,TXN-2024-000003,2025-08-16T23:13:45,0.39,NORMAL,1777,0,0.219,False,False,0
BEH-00000004,AU-CUST00274,TXN-2024-000004,2025-08-09T02:03:16,0.002,NORMAL,1146,0,0.031,False,False,0
BEH-00000005,AU-CUST00063,TXN-2024-000005,2025-04-17T06:34:07,0.392,NORMAL,1033,0,0.213,False,False,0
BEH-00000006,AU-CUST00450,TXN-2024-000006,2025-06-17T22:57:15,0.068,NORMAL,1729,0,0.187,False,False,0
BEH-00000007,AU-CUST00333,TXN-2024-000007,2025-07-15T13:43:59,0.021,NORMAL,1738,0,0.169,False,False,0
BEH-00000008,AU-CUST00329,TXN-2024-000008,2025-04-26T09:57:00,0.088,NORMAL,242,0,0.124,False,False,0
BEH-00000009,AU-CUST00516,TXN-2024-000009,2025-06-19T15:43:33,0.14,NORMAL,1775,0,0.296,False,False,0
BEH-00000010,AU-CUST00926,TXN-2024-000010,2025-07-01T19:03:46,0.181,NORMAL,1659,0,0.027,False,False,0
BEH-00000011,AU-CUST00801,TXN-2024-000011,2024-10-29T04:36:45,0.08,NORMAL,292,0,0.197,False,False,0
BEH-00000012,AU-CUST00671,TXN-2024-000012,2025-08-17T06:18:27,0.304,NORMAL,944,0,0.168,False,False,0
BEH-00000013,AU-CUST00709,TXN-2024-000013,2025-07-12T12:26:44,0.22,NORMAL,1164,0,0.091,False,False,0
BEH-00000014,AU-CUST00404,TXN-2024-000014,2025-08-29T05:01:32,0.112,NORMAL,780,0,0.104,False,False,0
BEH-00000015,AU-CUST00546,TXN-2024-000015,2025-03-30T07:36:43,0.038,NORMAL,1108,0,0.072,False,False,0
BEH-00000016,AU-CUST00423,TXN-2024-000016,2025-08-10T03:47:22,0.155,NORMAL,923,0,0.161,False,False,0
BEH-00000017,AU-CUST00807,TXN-2024-000017,2024-06-26T05:21:14,0.027,NORMAL,1487,0,0.251,False,False,0
BEH-00000018,AU-CUST00991,TXN-2024-000018,2025-07-01T15:30:03,0.094,NORMAL,121,0,0.023,False,False,0
BEH-00000019,AU-CUST00425,TXN-2024-000019,2024-09-07T11:51:30,0.237,NORMAL,279,0,0.289,False,False,0
BEH-00000020,AU-CUST00715,TXN-2024-000020,2025-06-01T14:30:42,0.172,NORMAL,1129,0,0.086,False,False,0
BEH-00000021,AU-CUST00056,TXN-2024-000021,2025-02-17T07:44:51,0.148,NORMAL,1764,0,0.102,False,False,0
BEH-00000022,AU-CUST00396,TXN-2024-000022,2025-06-05T17:41:30,0.247,NORMAL,272,0,0.3,False,False,0
BEH-00000023,AU-CUST00869,TXN-2024-000023,2025-07-05T14:53:25,0.194,NORMAL,987,0,0.195,False,False,0
BEH-00000024,AU-CUST00682,TXN-2024-000024,2025-08-04T00:58:03,0.061,NORMAL,679,0,0.12,False,False,0
BEH-00000025,AU-CUST00523,TXN-2024-000025,2024-01-31T18:38:12,0.116,NORMAL,1663,0,0.018,False,False,0
BEH-00000026,AU-CUST00212,TXN-2024-000026,2025-07-06T15:27:14,0.28,NORMAL,1103,0,0.231,False,False,0
BEH-00000027,AU-CUST00807,TXN-2024-000027,2025-04-27T17:48:29,0.173,NORMAL,339,0,0.002,False,False,0
BEH-00000028,AU-CUST00970,TXN-2024-000028,2024-10-11T14:58:50,0.261,NORMAL,791,0,0.09,False,False,0
BEH-00000029,AU-CUST00386,TXN-2024-000029,2024-07-18T05:22:20,0.033,NORMAL,893,0,0.257,False,False,0
BEH-00000030,AU-CUST00808,TXN-2024-000030,2025-07-28T20:10:02,0.032,NORMAL,920,0,0.055,False,False,0
BEH-00000031,AU-CUST00584,TXN-2024-000031,2025-03-10T08:57:39,0.282,NORMAL,770,0,0.253,False,False,0
BEH-00000032,AU-CUST00391,TXN-2024-000032,2024-11-18T06:37:39,0.324,NORMAL,414,0,0.048,False,False,0
BEH-00000033,AU-CUST00326,TXN-2024-000033,2025-02-12T00:09:35,0.354,NORMAL,795,0,0.06,False,False,0
BEH-00000034,AU-CUST00495,TXN-2024-000034,2025-09-16T13:17:28,0.253,NORMAL,1196,0,0.06,False,False,0
BEH-00000035,AU-CUST00401,TXN-2024-000035,2025-03-29T22:07:59,0.043,NORMAL,76,0,0.258,False,False,0
BEH-00000036,AU-CUST00612,TXN-2024-000036,2025-04-01T08:51:06,0.02,NORMAL,434,0,0.117,False,False,0
BEH-00000037,AU-CUST00144,TXN-2024-000037,2025-02-14T23:15:09,0.301,NORMAL,961,0,0.234,False,False,0
BEH-00000038,AU-CUST00468,TXN-2024-000038,2025-08-12T23:38:12,0.947,EMAIL_INTERACTION|COPY_PASTE|VENDOR_CHANGE,1766,0,0.96,True,True,1
BEH-00000039,AU-CUST00737,TXN-2024-000039,2025-03-31T14:23:55,0.18,NORMAL,359,0,0.157,False,False,0
BEH-00000040,AU-CUST00842,TXN-2024-000040,2025-06-18T07:49:32,0.249,NORMAL,1414,0,0.135,False,False,0
BEH-00000041,AU-CUST00274,TXN-2024-000041,2025-06-02T14:08:29,0.372,NORMAL,1574,0,0.122,False,False,0
BEH-00000042,AU-CUST00596,TXN-2024-000042,2025-02-01T15:00:35,0.05,NORMAL,1113,0,0.27,False,False,0
BEH-00000043,AU-CUST00296,TXN-2024-000043,2024-10-25T13:11:25,0.05,NORMAL,1245,0,0.141,False,False,0
BEH-00000044,AU-CUST00787,TXN-2024-000044,2025-06-28T07:14:18,0.321,NORMAL,110,0,0.019,False,False,0
BEH-00000045,AU-CUST00351,TXN-2024-000045,2025-09-09T17:13:09,0.338,NORMAL,102,0,0.172,False,False,0
BEH-00000046,AU-CUST00669,TXN-2024-000046,2025-08-15T17:09:05,0.114,NORMAL,729,0,0.061,False,False,0
BEH-00000047,AU-CUST00422,TXN-2024-000047,2025-06-28T02:13:35,0.285,NORMAL,766,0,0.096,False,False,0
BEH-00000048,AU-CUST00263,TXN-2024-000048,2024-10-25T16:14:59,0.166,NORMAL,1774,0,0.023,False,False,0
BEH-00000049,AU-CUST00572,TXN-2024-000049,2025-07-09T04:15:45,0.024,NORMAL,351,0,0.128,False,False,0
BEH-00000050,AU-CUST00620,TXN-2024-000050,2025-05-19T02:12:56,0.906,EMOTIONAL_PRESSURE|REPEAT_VICTIM|GRADUAL_INCREASE,1493,2,0.615,False,True,2
BEH-00000051,AU-CUST00679,TXN-2024-000051,2025-04-22T07:23:40,0.195,NORMAL,1181,0,0.153,False,False,0
BEH-00000052,AU-CUST00788,TXN-2024-000052,2025-03-29T14:51:05,0.056,NORMAL,862,0,0.199,False,False,0
BEH-00000053,AU-CUST00672,TXN-2024-000053,2025-09-05T15:22:50,0.223,NORMAL,184,0,0.237,False,False,0
BEH-00000054,AU-CUST00848,TXN-2024-000054,2025-05-29T19:27:33,0.334,NORMAL,704,0,0.089,False,False,0
BEH-00000055,AU-CUST00415,TXN-2024-000055,2025-04-12T06:26:11,0.391,NORMAL,1570,0,0.173,False,False,0
BEH-00000056,AU-CUST00503,TXN-2024-000056,2025-05-01T19:34:45,0.757,EMAIL_INTERACTION|COPY_PASTE|VENDOR_CHANGE,1656,0,0.669,True,False,3
BEH-00000057,AU-CUST00474,TXN-2024-000057,2025-09-19T04:10:37,0.366,NORMAL,796,0,0.115,False,False,0
BEH-00000058,AU-CUST00574,TXN-2024-000058,2025-09-25T00:33:37,0.057,NORMAL,988,0,0.104,False,False,0
