call_id,customer_id,transaction_id,call_date,call_time,call_type,call_outcome_category,call_duration_seconds,analyst_team,risk_level,customer_profile,escalated,call_quality_score,resolution_time_hours
CALL-000001,AU-CUST00620,TXN-2024-000050,2025-05-19,00:19:52,Inbound,Customer reached,1782,Transaction Risk,Medium,Standard,False,0.73,3.2
CALL-000002,AU-CUST00503,TXN-2024-000056,2025-05-01,17:48:38,Outbound,Customer reached,232,Fraud Ops,High,Vulnerable,False,0.75,2.2
CALL-000003,AU-CUST00703,TXN-2024-000100,2024-12-16,23:38:46,Outbound,No Response,449,Customer Protection,High,Vulnerable,True,0.81,4.4
CALL-000004,AU-CUST00353,TXN-2024-000221,2025-01-21,11:58:14,Inbound,Voicemail left,432,Fraud Ops,Medium,Standard,False,0.73,2.3
CALL-000005,AU-CUST00085,TXN-2024-000235,2024-11-05,20:21:42,Outbound,Customer reached,590,Transaction Risk,High,Vulnerable,True,0.73,1.4
CALL-000006,AU-CUST00381,TXN-2024-000310,2025-01-04,12:55:02,Outbound,Customer reached,2146,Customer Protection,Medium,Vulnerable,False,0.88,2.6
CALL-000007,AU-CUST00180,TXN-2024-000324,2024-05-21,21:43:33,Outbound,Customer reached,1942,Fraud Ops,High,Standard,False,0.78,1.8
CALL-000008,AU-CUST00877,TXN-2024-000358,2025-07-07,04:05:10,Outbound,Customer reached,2238,Transaction Risk,High,Standard,False,0.91,1.0
CALL-000009,AU-CUST00237,TXN-2024-000373,2025-04-30,01:40:29,Outbound,Customer reached,1063,Customer Protection,Medium,Standard,False,0.8,2.0
CALL-000010,AU-CUST00436,TXN-2024-000388,2024-10-04,07:14:41,Outbound,Customer reached,1948,Fraud Ops,Medium,Standard,False,0.76,5.0
CALL-000011,AU-CUST00673,TXN-2024-000400,2024-07-30,06:47:21,Outbound,Customer reached,2344,Fraud Ops,High,Vulnerable,True,0.7,5.2
CALL-000012,AU-CUST00379,TXN-2024-000403,2025-06-08,22:46:29,Outbound,No Response,2148,Fraud Ops,Medium,Standard,False,0.8,4.8
CALL-000013,AU-CUST00199,TXN-2024-000465,2025-06-22,23:22:59,Outbound,Customer reached,624,Customer Protection,High,Standard,True,0.85,5.2
CALL-000014,AU-CUST00426,TXN-2024-000472,2024-12-09,21:49:48,Outbound,No Response,1834,Fraud Ops,High,Vulnerable,True,0.94,2.8
CALL-000015,AU-CUST00373,TXN-2024-000476,2025-07-18,13:05:22,Inbound,Voicemail left,1435,Fraud Ops,High,Standard,False,0.89,4.6
CALL-000016,AU-CUST00400,TXN-2024-000490,2025-05-03,11:51:00,Inbound,Customer reached,682,Transaction Risk,High,Vulnerable,False,0.76,1.0
CALL-000017,AU-CUST00169,TXN-2024-000531,2024-12-03,17:00:39,Outbound,Customer reached,273,Transaction Risk,High,Vulnerable,True,0.89,0.8
CALL-000018,AU-CUST00526,TXN-2024-000559,2024-11-03,04:31:25,Outbound,Voicemail left,1661,Transaction Risk,High,Standard,True,0.88,1.9
CALL-000019,AU-CUST00400,TXN-2024-000585,2025-03-22,16:06:00,Outbound,Customer reached,1141,Fraud Ops,High,Vulnerable,False,0.93,5.1
CALL-000020,AU-CUST00353,TXN-2024-000610,2025-05-18,23:08:07,Outbound,Customer reached,312,Customer Protection,High,Standard,False,0.74,0.9
CALL-000021,AU-CUST00398,TXN-2024-000635,2024-12-13,20:06:39,Inbound,Customer reached,1067,Customer Protection,High,Vulnerable,True,0.73,3.0
CALL-000022,AU-CUST00124,TXN-2024-000642,2024-05-03,02:17:46,Outbound,Voicemail left,2343,Fraud Ops,Medium,Vulnerable,False,0.81,5.5
CALL-000023,AU-CUST00999,TXN-2024-000672,2025-05-17,21:46:00,Outbound,Customer reached,505,Transaction Risk,High,Standard,True,0.75,1.8
CALL-000024,AU-CUST00602,TXN-2024-000680,2025-03-04,23:46:21,Inbound,Customer reached,576,Customer Protection,High,Standard,True,0.94,2.1
CALL-000025,AU-CUST00986,TXN-2024-000795,2025-09-01,13:55:51,Inbound,No Response,729,Fraud Ops,High,Vulnerable,False,0.89,0.9
CALL-000026,AU-CUST00419,TXN-2024-000816,2024-09-13,03:31:49,Inbound,No Response,511,Fraud Ops,Medium,Vulnerable,False,0.81,1.7
CALL-000027,AU-CUST00847,TXN-2024-000845,2025-06-30,03:49:56,Outbound,Customer reached,2351,Transaction Risk,High,Standard,False,0.95,1.6
