event_id,customer_id,transaction_id,event_timestamp,anomaly_score,behavioral_flags,session_duration_seconds,hesitation_indicators,typing_pattern_anomaly,copy_paste_detected,new_payee_flag,authentication_failures
BEH-00010368,AU-CUST00515,TXN-2024-010390,2025-03-14T17:29:25,0.248,NORMAL,1478,4,0.11,False,False,3
BEH-00009221,AU-CUST00032,TXN-2024-009235,2025-09-12T07:43:20,0.083,NORMAL,726,3,0.129,False,False,2
BEH-00011868,AU-CUST00593,TXN-2024-011869,2025-08-06T02:17:40,0.303,NORMAL,428,1,0.172,False,False,2
BEH-00002482,AU-CUST00835,TXN-2024-002476,2024-02-17T06:22:07,0.312,NORMAL,1492,3,0.034,False,False,2
BEH-00003567,AU-CUST00564,TXN-2024-003590,2024-07-06T22:48:08,0.29,NORMAL,1186,4,0.095,False,False,3
BEH-00006650,AU-CUST00300,TXN-2024-006649,2025-06-09T06:29:27,0.445,NORMAL,257,4,0.483,False,False,3
BEH-00001360,AU-CUST00292,TXN-2024-001348,2024-12-29T22:59:21,0.389,NORMAL,396,4,0.221,False,False,3
BEH-00000891,AU-CUST00837,TXN-2024-000900,2025-07-06T18:57:55,0.361,NORMAL,937,4,0.132,False,False,3
BEH-00005233,AU-CUST00407,TXN-2024-005230,2025-06-13T08:15:47,0.283,NORMAL,179,4,0.154,False,False,1
BEH-00008331,AU-CUST00257,TXN-2024-008321,2025-09-23T18:05:19,0.331,NORMAL,110,4,0.177,False,False,3
BEH-00008227,AU-CUST00787,TXN-2024-008224,2025-07-31T10:13:57,0.039,NORMAL,487,2,0.101,False,True,0
BEH-00001482,AU-CUST00179,TXN-2024-001471,2024-12-29T19:28:45,0.262,NORMAL,418,3,0.239,False,False,3
BEH-00007376,AU-CUST00286,TXN-2024-007397,2025-05-10T00:36:28,0.182,NORMAL,1767,4,0.283,False,False,1
BEH-00001773,AU-CUST00823,TXN-2024-001781,2025-07-15T02:51:38,0.266,NORMAL,164,3,0.184,False,False,1
BEH-00007292,AU-CUST00919,TXN-2024-007307,2024-10-15T04:03:03,0.359,NORMAL,922,4,0.373,False,False,3
BEH-00011965,AU-CUST00037,TXN-2024-011965,2024-09-02T19:05:43,0.219,NORMAL,1459,2,0.164,False,False,2
BEH-00000391,AU-CUST00103,TXN-2024-000387,2024-09-04T01:10:51,0.49,NORMAL,642,1,0.452,False,False,1
BEH-00011179,AU-CUST00064,TXN-2024-011193,2025-08-21T05:20:42,0.369,NORMAL,789,4,0.115,False,False,3
BEH-00008422,AU-CUST00851,TXN-2024-008424,2025-05-28T01:35:25,0.166,NORMAL,313,4,0.178,False,False,3
BEH-00004314,AU-CUST00902,TXN-2024-004290,2024-04-24T20:14:54,0.105,NORMAL,1621,4,0.485,False,False,3
BEH-00004936,AU-CUST00976,TXN-2024-004936,2025-06-02T04:25:51,0.081,NORMAL,638,4,0.437,False,False,2
BEH-00009533,AU-CUST00287,TXN-2024-009546,2025-09-11T02:45:34,0.272,NORMAL,875,2,0.044,False,False,3
BEH-00010344,AU-CUST00643,TXN-2024-010352,2024-08-21T16:30:02,0.192,NORMAL,1722,3,0.348,False,False,3
BEH-00008320,AU-CUST00036,TXN-2024-008305,2025-08-19T10:53:34,0.332,NORMAL,646,3,0.136,False,False,3
BEH-00010077,AU-CUST00088,TXN-2024-010077,2025-07-01T12:07:22,0.189,NORMAL,1693,4,0.168,False,False,3
BEH-00009012,AU-CUST00256,TXN-2024-009011,2024-12-18T21:27:37,0.109,NORMAL,316,2,0.096,False,False,1
BEH-00004518,AU-CUST00066,TXN-2024-004498,2025-02-04T22:49:33,0.276,NORMAL,978,4,0.079,False,False,2
BEH-00000492,AU-CUST00749,TXN-2024-000487,2025-09-16T18:12:00,0.112,NORMAL,1592,3,0.06,False,False,1
BEH-00002644,AU-CUST00398,TXN-2024-002629,2024-12-04T14:01:23,0.438,NORMAL,1260,4,0.167,False,False,3
BEH-00002833,AU-CUST00420,TXN-2024-002834,2025-07-18T15:23:34,0.173,NORMAL,284,4,0.151,False,False,3
BEH-00002488,AU-CUST00573,TXN-2024-002485,2025-04-16T18:02:24,0.292,NORMAL,1681,4,0.224,False,False,3
BEH-00002489,AU-CUST00612,TXN-2024-002478,2025-05-27T07:02:30,0.054,NORMAL,876,4,0.191,False,False,3
BEH-00007855,AU-CUST00579,TXN-2024-007846,2025-03-21T08:52:29,0.208,NORMAL,1185,2,0.099,False,False,3
BEH-00011503,AU-CUST00640,TXN-2024-011506,2025-05-08T07:54:30,0.229,NORMAL,951,3,0.093,False,True,1
BEH-00008535,AU-CUST00042,TXN-2024-008514,2025-07-24T05:42:27,0.307,NORMAL,184,4,0.343,False,False,3
BEH-00002473,AU-CUST00222,TXN-2024-002463,2025-07-26T09:11:45,0.025,NORMAL,773,0,0.013,False,False,2
BEH-00011952,AU-CUST00192,TXN-2024-011952,2025-01-20T14:57:24,0.038,NORMAL,1744,3,0.029,False,False,2
