call_id,customer_id,transaction_id,call_date,call_time,call_type,call_outcome_category,call_duration_seconds,analyst_team,risk_level,customer_profile,escalated,call_quality_score,resolution_time_hours
CALL-000347,AU-CUST00010,TXN-2024-010452,2024-04-17,02:04:33,Inbound,No Response,2047,Fraud Ops,Medium,Vulnerable,False,0.88,1.9
CALL-000077,AU-CUST00033,TXN-2024-002479,2025-07-10,07:51:17,Outbound,Voicemail left,1504,Transaction Risk,Medium,Vulnerable,False,0.89,3.1
CALL-000168,AU-CUST00551,TXN-2024-005768,2025-05-13,04:57:44,Outbound,Customer reached,1858,Fraud Ops,High,Standard,False,0.86,4.8
CALL-000144,AU-CUST00818,TXN-2024-004631,2025-09-29,13:50:14,Outbound,No Response,1643,Fraud Ops,Medium,Vulnerable,False,0.75,2.0
CALL-000067,AU-CUST00419,TXN-2024-002163,2025-04-21,17:27:41,Inbound,Voicemail left,1448,Customer Protection,High,Standard,False,0.86,1.6
CALL-000039,AU-CUST00276,TXN-2024-001341,2025-03-22,04:17:20,Outbound,Customer reached,1384,Customer Protection,High,Vulnerable,True,0.72,5.7
CALL-000043,AU-CUST00817,TXN-2024-001508,2024-12-16,04:17:20,Outbound,Customer reached,1099,Transaction Risk,Medium,Vulnerable,False,0.85,3.5
CALL-000084,AU-CUST00427,TXN-2024-002795,2025-06-22,05:05:32,Inbound,No Response,1050,Customer Protection,High,Standard,False,0.75,6.0
CALL-000365,AU-CUST00981,TXN-2024-011052,2024-09-25,23:08:04,Inbound,Voicemail left,313,Customer Protection,High,Standard,False,0.82,1.3
CALL-000285,AU-CUST00067,TXN-2024-008591,2025-08-10,22:23:52,Inbound,Customer reached,2105,Transaction Risk,High,Vulnerable,True,0.77,3.0
CALL-000319,AU-CUST00674,TXN-2024-009599,2025-05-25,23:19:55,Outbound,Customer reached,1147,Customer Protection,High,Vulnerable,False,0.93,3.9
CALL-000053,AU-CUST00602,TXN-2024-001599,2024-07-30,15:58:01,Outbound,Voicemail left,1404,Customer Protection,High,Vulnerable,False,0.85,5.2
CALL-000244,AU-CUST00040,TXN-2024-007681,2025-05-21,10:24:23,Outbound,Voicemail left,273,Transaction Risk,Medium,Vulnerable,False,0.9,1.3
