alert_id,customer_id,transaction_id,rule_id,strategy,queue,priority,status,alert_date,alert_time,risk_score,escalation_level,false_positive_probability,customer_contact_attempts
ALRT-AU-CUST00514-346,AU-CUST00314,TXN-2024-008906,RUL-TX900,App Investment Scam,Investment Scam Monitoring,High,Open,2025-09-17,19:01:18,918,L2,0.25,2
ALRT-AU-CUST00528-146,AU-CUST00673,TXN-2024-003902,RUL-TX344,App Investment Scam,Investment Scam Monitoring,High,Open,2025-03-05,20:22:05,924,L1,0.34,2
ALRT-AU-CUST00964-279,AU-CUST00636,TXN-2024-007480,RUL-TX604,App Invoice Fraud,Investment Scam Monitoring,High,Open,2025-01-25,18:09:41,817,L1,0.08,3
ALRT-AU-CUST00479-193,AU-CUST00633,TXN-2024-005280,RUL-TX885,App Bank Impersonation,Investment Scam Monitoring,Critical,Open,2025-07-14,00:14:22,926,L1,0.18,2
ALRT-AU-CUST00899-91,AU-CUST00421,TXN-2024-002506,RUL-TX142,Mule Activity,Device Anomaly,High,Open,2025-08-27,09:36:42,831,L2,0.26,1
ALRT-AU-CUST00026-63,AU-CUST00891,TXN-2024-001527,RUL-TX769,App Invoice Fraud,High-Risk Behaviour,High,Open,2025-04-30,18:40:56,783,L2,0.21,3
ALRT-AU-CUST00316-21,AU-CUST00398,TXN-2024-000424,RUL-TX770,App Investment Scam,High-Risk Behaviour,High,Open,2025-04-30,01:09:59,897,L1,0.16,2
ALRT-AU-CUST00128-40,AU-CUST00666,TXN-2024-000999,RUL-TX961,App Invoice Fraud,High-Risk Behaviour,High,Open,2025-04-27,00:39:12,824,L1,0.09,2
ALRT-AU-CUST00059-391,AU-CUST00560,TXN-2024-010223,RUL-TX512,App Investment Scam,Device Anomaly,High,Open,2025-02-01,11:45:44,836,L2,0.36,1
ALRT-AU-CUST00419-262,AU-CUST00812,TXN-2024-007220,RUL-TX111,App Romance Scam,Device Anomaly,High,Open,2024-12-26,02:46:14,823,L2,0.19,3
ALRT-AU-CUST00984-411,AU-CUST00939,TXN-2024-010690,RUL-TX150,App Bank Impersonation,High-Risk Behaviour,High,Open,2024-05-11,18:22:10,770,L2,0.14,2
ALRT-AU-CUST00479-43,AU-CUST00400,TXN-2024-001099,RUL-TX423,App Invoice Fraud,High-Risk Behaviour,High,Open,2025-03-30,16:54:00,897,L2,0.35,1
ALRT-AU-CUST00203-241,AU-CUST00848,TXN-2024-006712,RUL-TX164,App Investment Scam,Investment Scam Monitoring,High,Open,2025-03-20,00:32:09,875,L1,0.37,1
ALRT-AU-CUST00450-385,AU-CUST00017,TXN-2024-009925,RUL-TX102,App Invoice Fraud,High-Risk Behaviour,High,Open,2025-02-07,00:28:51,816,L2,0.13,2
ALRT-AU-CUST00673-226,AU-CUST00400,TXN-2024-006160,RUL-TX319,App Bank Impersonation,Device Anomaly,High,Open,2025-03-11,06:22:47,766,L1,0.07,1
ALRT-AU-CUST00673-19,AU-CUST00400,TXN-2024-000400,RUL-TX202,Mule Activity,Investment Scam Monitoring,High,Open,2024-10-07,19:35:30,888,L2,0.1,1
ALRT-AU-CUST00604-340,AU-CUST00427,TXN-2024-008829,RUL-TX997,App Invoice Fraud,Investment Scam Monitoring,Critical,Open,2025-06-16,00:04:22,785,L1,0.11,1
