transaction_id,customer_id,source_account_id,destination_account_id,amount,currency,transaction_type,transaction_date,transaction_time,payee_payer_name,description,payment_channel,device_id,device_model,ip_address,ip_address_country,known_device,status,is_flagged,flag_reason,is_fraud,fraud_type,risk_score,location_risk,amount_risk,velocity_risk,ctr_flag,sar_flag
TXN-2024-009774,AU-CUST00999,ACC00001264,ACC00000562,41.05,AUD,Payment,2025-04-03,01:06:10,Payee-001081,Grocery shopping,Mobile Banking,DEV-UST00152,iPhone 13,59.120.66.254,AU,True,Completed,False,,False,LEGITIMATE,18,Low,Low,Low,False,False
TXN-2024-001161,AU-CUST00003,ACC00000389,ACC00000850,256.06,AUD,Payment,2025-06-02,09:19:02,Payee-000215,Fuel,Online Banking,DEV-UST00079,iPhone 13,203.105.38.142,AU,True,Completed,False,,False,LEGITIMATE,23,Low,Low,Low,False,False
TXN-2024-002335,AU-CUST00809,ACC00000745,ACC00000806,21.38,AUD,Payment,2025-08-29,10:40:46,Payee-000842,Rent payment,ATM,DEV-UST00859,Samsung Galaxy S23,203.180.122.227,AU,True,Completed,False,,False,LEGITIMATE,18,Low,Low,Medium,False,False
TXN-2024-003222,AU-CUST00673,ACC00001039,ACC00000390,39.6,AUD,Payment,2025-07-16,23:08:48,Payee-000537,Online purchase,Online Banking,DEV-UST00899,iPhone 14,203.93.187.247,AU,True,Completed,False,,False,LEGITIMATE,6,Low,Low,Low,False,False
TXN-2024-010131,AU-CUST00248,ACC00000293,ACC00001131,99.91,AUD,Payment,2024-12-14,09:09:13,Payee-000915,Utilities,ATM,DEV-UST00235,iPhone 14,203.197.214.1,AU,True,Blocked,False,,True,LEGITIMATE,20,Low,Low,Low,False,False
TXN-2024-000981,AU-CUST00370,ACC00000304,ACC00000864,83.81,AUD,Payment,2025-08-26,05:05:33,Payee-000663,Transfer to savings,Mobile Banking,DEV-UST00050,Unknown Device,203.136.228.231,AU,True,Pending,False,App Invoice Fraud pattern detected,False,LEGITIMATE,35,Low,Low,High,False,False
TXN-2024-006962,AU-CUST00201,ACC00000074,ACC00000547,376.44,AUD,Payment,2025-07-08,23:35:52,Payee-000705,Insurance,ATM,DEV-UST00048,iPhone 13,203.253.184.242,AU,True,Completed,False,,False,LEGITIMATE,17,Low,Low,Low,False,False
TXN-2024-000218,AU-CUST00889,ACC00000521,ACC00000406,16.12,AUD,Payment,2025-02-20,07:50:29,Payee-000339,Supplier payment,ATM,DEV-UST00510,Samsung Galaxy S23,203.187.252.88,AU,True,Completed,False,,False,LEGITIMATE,8,High,Low,Low,False,False
TXN-2024-003379,AU-CUST00122,ACC00000324,ACC00001236,73.84,AUD,Payment,2024-10-08,05:56:39,Payee-000375,Salary payment,Mobile Banking,UNK-3091,iPhone 14,203.238.189.34,AU,True,Completed,False,,False,LEGITIMATE,12,Low,Low,Low,False,False
TXN-2024-008713,AU-CUST00397,ACC00000963,ACC00000355,1002.48,AUD,Payment,2025-03-27,16:50:30,Payee-000433,Bill payment,Online Banking,DEV-UST00633,Unknown iPhone,203.82.184.237,AU,True,Completed,False,,False,LEGITIMATE,59,Low,Medium,Low,False,False
TXN-2024-001237,AU-CUST00574,ACC00000643,ACC00000538,21.26,AUD,Payment,2024-08-22,20:41:22,Payee-000834,Bill payment,ATM,DEV-UST00176,iPhone 14,203.151.37.155,AU,True,Completed,False,,False,LEGITIMATE,13,Low,Low,Low,False,False
TXN-2024-006563,AU-CUST00430,ACC00000454,ACC00000893,204.3,AUD,Payment,2025-06-04,03:38:37,Payee-000755,Rent payment,Mobile Banking,DEV-UST00722,Samsung Galaxy S23,177.91.107.173,AU,True,Completed,True,,False,APP_BANK_IMPERSONATION,26,Low,Low,Low,False,False
TXN-2024-010472,AU-CUST00502,ACC00000031,ACC00000686,5.0,AUD,Payment,2025-06-29,12:07:51,Payee-000681,Online purchase,Online Banking,DEV-UST00917,Samsung Galaxy S23,203.8.65.97,AU,True,Completed,False,,False,LEGITIMATE,9,Low,Low,Low,False,False
TXN-2024-003262,AU-CUST00960,ACC00001052,ACC00000478,485.68,AUD,Transfer,2025-01-07,18:48:14,Payee-000540,Rent payment,Online Banking,DEV-UST00549,Samsung Galaxy S23,203.117.196.158,AU,True,Completed,False,,False,LEGITIMATE,34,Low,Low,Low,False,False
TXN-2024-001072,AU-CUST00948,ACC00000292,ACC00000777,99.48,AUD,Payment,2025-09-21,13:15:44,Payee-000531,Restaurant,ATM,DEV-UST00465,iPhone 13,203.108.201.14,AU,True,Completed,False,Mule Activity pattern detected,False,LEGITIMATE,15,Low,Low,Low,False,True
